X,Y
-42.35296,15.376347
46.614056,8.020585
-33.01324,22.604593
-36.27106,15.182582
-45.31379,22.904345
-39.8506,17.307547
-39.975735,16.803207
-45.126358,22.984701
-36.64005,17.814407
-39.348305,24.407663
-36.77281,11.496315
-33.116226,31.058748
-21.864534,-1.9738377
-38.614315,19.474915
-2.3985186,4.1181664
-30.467955,-33.21139
-31.710735,20.970936
-34.20919,15.3250475
23.285177,6.5594473
-36.952316,23.767763
-30.862099,-33.092785
-40.70217,8.3832855
-33.57333,20.749641
-37.542004,16.542412
-42.422966,13.608565
-41.20272,15.423056
46.275257,8.386212
25.305637,-49.79853
-39.310062,27.437452
-43.265015,17.263685
-37.604202,17.402412
-38.186497,12.319052
-43.743305,14.184469
0.95671517,3.3483262
-36.988148,20.156141
49.276882,-1.1933436
-34.86604,27.423025
-33.98293,22.034212
-41.27414,13.036973
-34.91965,17.403498
-44.74257,21.740826
-45.16621,22.85328
-36.43804,16.98465
-45.81605,26.009243
29.093826,-23.348343
-39.229347,11.985543
-37.06619,13.378434
-35.44786,23.83037
-36.722343,21.820366
-42.973152,13.166706
-43.762543,29.239819
0.642092,28.219288
-39.746956,17.045738
-37.652687,15.485058
-36.303146,28.877453
24.430658,-50.95131
-42.414608,27.954285
-41.722538,13.19937
-37.086666,11.852955
28.636377,-23.73804
-42.28544,13.470869
-37.03723,27.62146
-45.469658,26.318674
-33.19865,30.7265
23.830997,6.4226427
-36.387074,16.797739
-32.153717,16.390854
-36.23945,17.399673
-10.693245,-59.073578
24.006073,-52.42545
-37.253563,28.415945
-38.97053,22.681784
-35.96957,24.674583
-34.2718,18.041603
-29.717934,-26.914001
-42.47438,15.218694
-32.25143,18.078724
-4.398503,0.7857161
-28.367039,20.03821
-39.27551,20.760836
47.542423,5.6882
-39.21301,27.128536
-35.72304,11.442114
-35.88418,12.054351
-25.488205,19.320131
-35.212135,27.70371
-6.1736355,27.867304
-9.5781355,37.09679
-36.095596,30.172161
-42.835888,25.130552
-29.886986,29.77794
-36.257523,18.683058
-35.49074,21.363535
23.845833,6.6622033
-44.477055,25.725597
-32.500126,11.654477
-36.286526,14.69306
-46.818974,25.29447
-38.567783,15.829956
-38.453114,24.199062
21.743767,-50.956306
49.180264,-1.3853545
-6.4027367,28.665922
-39.14265,13.241368
-32.313805,26.99852
-46.222504,23.087572
-20.326954,31.79881
-38.195385,22.691101
-33.638195,15.928857
-46.24165,25.21741
23.810122,6.550202
21.798752,-51.34597
-32.740433,17.7474
-29.155416,28.148079
-10.702887,-59.21769
-35.226486,11.151183
-45.626633,21.89589
-36.508026,23.343786
-28.908026,21.161974
-40.32858,8.17577
46.375267,8.451341
-39.78853,20.228989
-36.69701,28.76701
23.777002,6.4752617
-37.274914,13.224237
-27.634417,32.551342
-31.46431,27.923637
-34.91947,20.575186
-5.136103,32.805622
-12.712906,25.28623
-38.31655,20.113214
-34.21034,19.444656
-44.654556,21.517904
-45.392868,25.62495
-39.49318,11.983693
-33.83089,15.476757
-31.460976,30.450727
-20.427933,37.47703
-33.78737,19.41545
-30.127737,-25.626251
-28.631233,-28.219812
-34.009468,12.764772
-37.034687,24.633272
-45.98299,26.644114
-29.835497,22.281313
-29.947067,19.727299
-21.340204,42.40444
-28.935162,28.841703
-34.886425,15.480915
-35.90176,23.004772
-37.936512,10.219858
-39.83644,15.671545
-32.581276,19.087112
-44.342823,25.84317
-33.265343,15.964184
-21.54724,-3.9718583
-35.101276,10.694438
-39.54997,18.766478
-37.820072,24.87895
-2.7749145,4.1823955
-16.177534,21.216158
-37.25357,19.089338
0.033271853,2.9296534
-30.348858,31.553885
-32.24671,18.564085
-28.875563,34.459583
-3.3291943,35.311714
-28.34274,-30.4173
-30.49288,24.884727
-36.134148,30.10363
-37.645504,14.080665
-15.837142,20.27501
-3.9493194,-18.333002
-38.397514,28.832758
47.820362,2.2167675
-33.46987,11.9706
-35.521957,12.503288
-30.086277,21.165178
-34.19952,18.57209
-39.477375,16.767984
-32.101486,31.948418
-15.814011,21.358225
-42.967934,27.596062
-35.95763,15.840714
-10.810726,30.390171
-34.873753,21.503326
-31.90038,23.869236
-31.429907,-30.004166
-24.833128,26.708385
-38.631588,22.751442
-43.899925,14.157094
-16.513212,23.51284
-19.81655,39.29858
-34.6153,16.510668
-25.665985,20.556854
-26.541784,19.88336
-22.06473,26.149454
-36.201263,15.647636
-45.06064,27.838219
23.245007,-51.11466
-10.7013645,-58.67036
-19.37158,31.024086
-32.211494,23.866074
-32.773537,24.782007
-31.540035,23.78099
-32.166386,19.72252
45.20498,8.37931
-34.75768,15.542653
-35.229454,19.30877
-14.1887245,29.994621
-33.42419,14.84705
-33.64152,11.29453
-34.568115,29.046453
-38.21228,11.477262
-12.287825,-20.473831
-38.464855,19.439997
21.237154,-51.69705
-0.7625443,-35.802757
-22.456373,14.201842
-30.044157,25.91505
-21.108881,43.57352
-15.877857,44.72418
-34.649254,25.396887
-41.182842,13.228597
-14.997037,43.704235
-5.3254256,32.483753
-33.514828,20.001972
-2.2338145,4.304996
-33.22357,29.318151
-21.84868,13.804486
-16.159548,23.081476
-24.555403,24.537794
-25.916273,21.41477
-36.474155,24.705877
47.834038,2.835766
