Gene Name,Coverage (%),Mean Expression,Total Expression,RSP Area
Ltbr,4.5855379188712515,0.04797178130511464,136,1.6326386235728296
Ltc4s,5.467372134038801,0.07548500881834215,214,6.642530310335024
Ltf,2.433862433862434,0.12098765432098765,343,48.63329627831222
Ltk,0.10582010582010583,0.0010582010582010583,3,3776.45044262824
Ltn1,0.8465608465608466,0.009523809523809525,27,72.35451713909804
Ltv1,3.3156966490299826,0.03350970017636684,95,26.69725156956414
Luc7l,2.1164021164021163,0.021869488536155203,62,14.7566644658846
Luc7l2,9.80599647266314,0.10582010582010581,300,0.4654930362056301
Luc7l3,9.029982363315698,0.0962962962962963,273,0.291608893200892
Lum,2.504409171075838,0.051499118165784834,146,105.49774660024516
Lurap1,0.599647266313933,0.00599647266313933,17,143.92397210256928
Lurap1l,5.008818342151676,0.057495590828924165,163,0.8515179136129677
Luzp1,1.4814814814814816,0.015167548500881834,43,48.33500567608401
Lxn,3.3156966490299826,0.03597883597883598,102,14.536082113222985
Ly6a,19.25925925925926,0.45044091710758377,1277,0.25764603837405026
Ly6c1,11.46384479717813,0.2052910052910053,582,0.462781719901101
Ly6c2,13.333333333333334,0.3037037037037037,861,0.8229042757936879
Ly6d,6.9488536155202825,0.13333333333333333,378,12.195963661420322
Ly6e,67.47795414462081,1.7738977072310405,5029,0.02383957262872214
Ly6g,0.9523809523809524,0.015167548500881834,43,212.97293326339718
Ly6g5b,0.24691358024691357,0.0028218694885361554,8,3224.992926919251
Ly6g6c,0.21164021164021166,0.0024691358024691358,7,105810.37390391366
Ly6g6d,1.09347442680776,0.011287477954144622,32,11.39594004475702
Ly6g6e,0.24691358024691357,0.0024691358024691358,7,662.491301994618
Ly6g6f,0.035273368606701945,0.0003527336860670194,1,32794.81333939208
Ly6i,0.9523809523809524,0.010934744268077601,31,12.577807551374946
Ly6k,0.599647266313933,0.008465608465608466,24,112.75361543793035
Ly75,1.09347442680776,0.011287477954144622,32,224.67956196328208
Ly86,4.72663139329806,0.055379188712522044,157,36.9870810911562
Ly9,1.6931216931216932,0.01798941798941799,51,1069.6546298794067
Ly96,1.6225749559082892,0.016578483245149912,47,91.34988653045934
Lyar,3.3509700176366843,0.03527336860670194,100,10.884875015911867
Lyl1,1.9047619047619049,0.021869488536155203,62,1415.9471817639878
Lyn,5.82010582010582,0.06419753086419754,182,6.953813602731878
Lynx1,1.4462081128747795,0.015167548500881834,43,10.583109169738378
Lypd2,1.2698412698412698,0.026102292768959437,74,92.14410019195489
Lypd3,0.035273368606701945,0.0003527336860670194,1,99367.22137965602
Lypd6b,0.5291005291005291,0.005291005291005291,15,49.61625138257571
Lypla1,4.5855379188712515,0.047619047619047616,135,1.8123494762835222
Lypla2,10.052910052910052,0.10793650793650794,306,1.1276561213049598
Lyplal1,0.4232804232804233,0.004585537918871252,13,566.2052299387756
Lyrm1,0.7054673721340388,0.007054673721340388,20,247.05937527750692
Lyrm2,3.2451499118165783,0.033862433862433865,96,3.7568289432039084
Lyrm4,1.09347442680776,0.011287477954144622,32,63.69975545485637
Lyrm7,0.31746031746031744,0.0031746031746031746,9,3485.4289428207535
Lyrm9,0.9171075837742505,0.009171075837742505,26,152.5540132753776
Lysmd1,0.1763668430335097,0.001763668430335097,5,50877.43915456919
Lysmd2,2.2927689594356258,0.026807760141093474,76,1270.9644776056712
Lysmd3,0.5643738977072311,0.005643738977072311,16,466.8188725279923
Lysmd4,0.5291005291005291,0.005291005291005291,15,392.64278265143616
Lyst,0.10582010582010583,0.0010582010582010583,3,4028.9861531337338
Lyve1,3.1040564373897706,0.06701940035273368,190,30.825689739910313
Lyz1,48.430335097001766,3.200705467372134,9074,0.031553507213102606
Lyz2,98.97707231040565,36.09559082892416,102331,0.0
Lzic,0.7760141093474426,0.008465608465608466,24,32.63623993133707
Lztfl1,2.2222222222222223,0.02292768959435626,65,23.73224171751353
Lztr1,2.433862433862434,0.025044091710758377,71,4.898305985233122
Lzts1,0.3880070546737213,0.0038800705467372134,11,481.2840687416126
Lzts2,3.1746031746031744,0.03421516754850088,97,3.2079619558388943
Lzts3,0.07054673721340389,0.0007054673721340388,2,49284.540271280755
M1ap,0.28218694885361556,0.0028218694885361554,8,178.53648735693795
M6pr,15.308641975308642,0.17742504409171075,503,0.3787893260789189
M6pr-ps,0.035273368606701945,0.0003527336860670194,1,120022.96722904073
Macc1,2.821869488536155,0.031040564373897708,88,2.601922366832692
Macf1,6.525573192239858,0.07336860670194004,208,1.1221515344655386
Macrod1,2.18694885361552,0.022574955908289243,64,3.017479450535994
Macrod2,0.7760141093474426,0.007760141093474427,22,10.234083905510563
Mad1l1,0.7054673721340388,0.007054673721340388,20,139.91715649916557
Mad2l1,1.305114638447972,0.014462081128747795,41,67.28814821052575
Mad2l1bp,1.2345679012345678,0.012345679012345678,35,14.473435100994482
Mad2l2,3.7742504409171076,0.038447971781305115,109,5.732635853188157
Madd,2.433862433862434,0.025044091710758377,71,8.100331516847358
Maea,7.019400352733686,0.07442680776014109,211,0.3000265010922254
Maf,5.608465608465608,0.08430335097001763,239,36.85680059064153
Maf1,10.440917107583775,0.11075837742504409,314,0.4594867246312607
Mafb,1.869488536155203,0.02857142857142857,81,411.8809969604125
Maff,7.442680776014108,0.0945326278659612,268,2.3692475438374005
Mafg,2.433862433862434,0.02433862433862434,69,11.979405288750637
Mafk,2.610229276895944,0.027865961199294534,79,12.485014298037392
Mag,0.45855379188712525,0.004585537918871252,13,2442.4926159887073
Maged1,7.266313932980599,0.0835978835978836,237,0.734602781547766
Maged2,3.1746031746031744,0.03350970017636684,95,3.2440803525114994
Magee1,0.45855379188712525,0.004585537918871252,13,3343.6087860643684
Mageh1,1.9753086419753085,0.020105820105820106,57,4.7355052828366295
Magi1,0.6349206349206349,0.006349206349206349,18,24.469239371396824
Magi2,0.21164021164021166,0.0021164021164021165,6,4126.025483798975
Magi3,2.821869488536155,0.02927689594356261,83,1.148368554904732
Magix,0.31746031746031744,0.0031746031746031746,9,1331.4900264021617
Magoh,9.135802469135802,0.0980599647266314,278,0.8339877810402079
Magohb,2.2574955908289245,0.02328042328042328,66,15.113030070292284
Magt1,8.74779541446208,0.09876543209876543,280,1.1024751834593107
Maip1,1.869488536155203,0.01904761904761905,54,11.019093020261835
Mak16,3.3509700176366843,0.03562610229276896,101,18.58154113334447
Mal,6.525573192239858,0.07125220458553792,202,0.29661145154915364
Mal2,7.830687830687831,0.09664902998236331,274,0.33016085931659245
Malat1,53.05114638447972,1.128395061728395,3199,0.009958850538489546
Mall,1.2698412698412698,0.013051146384479718,37,14.773124457514973
Malsu1,4.338624338624339,0.04656084656084656,132,3.170368944765004
Malt1,2.504409171075838,0.025396825396825397,72,6.359747235500186
Mamdc2,2.18694885361552,0.027865961199294534,79,83.6738143667034
